StudentID,Department,Attendance_Pct,Assignment_Score,CAT_1_Score,CAT_2_Score,Final_Exam_Score,Status
KNP/STUD/0001,Computing and Informatics,84.0,65.3,82.3,77.7,89.4,Pass
KNP/STUD/0002,Engineering,76.3,64.9,59.8,66.2,76.5,Pass
KNP/STUD/0003,Business,85.8,81.8,87.5,77.4,95.7,Pass
KNP/STUD/0004,Computing and Informatics,96.3,84.6,97.1,96.1,100.0,Pass
KNP/STUD/0005,Computing and Informatics,75.2,69.9,76.5,73.8,86.5,Pass
KNP/STUD/0006,Computing and Informatics,75.2,71.2,94.3,72.4,90.1,Pass
KNP/STUD/0007,Engineering,97.0,91.6,73.1,66.1,89.1,Pass
KNP/STUD/0008,Engineering,87.2,69.0,60.0,83.9,81.6,Pass
KNP/STUD/0009,Engineering,72.4,74.4,50.2,79.3,71.5,Pass
KNP/STUD/0010,Business,84.5,71.8,92.7,100.0,100.0,Pass
KNP/STUD/0011,Business,72.4,66.8,77.9,66.4,73.4,Pass
KNP/STUD/0012,Computing and Informatics,72.4,80.0,72.0,75.3,82.4,Pass
KNP/STUD/0013,Computing and Informatics,80.9,80.6,78.8,78.4,86.0,Pass
KNP/STUD/0014,Business,55.0,70.2,52.0,84.5,86.5,Pass
KNP/STUD/0015,Computing and Informatics,57.3,76.0,96.7,66.2,84.5,Pass
KNP/STUD/0016,Computing and Informatics,71.3,68.7,71.7,73.5,93.9,Pass
KNP/STUD/0017,Business,65.8,73.2,70.7,76.7,79.2,Pass
KNP/STUD/0018,Engineering,81.8,69.6,82.2,75.7,91.0,Pass
KNP/STUD/0019,Applied Sciences,67.1,70.1,74.9,63.8,75.5,Pass
KNP/STUD/0020,Applied Sciences,61.1,63.1,68.6,68.3,95.7,Pass
KNP/STUD/0021,Business,95.6,79.2,70.0,92.4,85.9,Pass
KNP/STUD/0022,Business,75.3,76.1,78.5,60.5,88.1,Pass
KNP/STUD/0023,Business,78.8,63.3,93.9,72.9,93.2,Pass
KNP/STUD/0024,Engineering,60.9,85.3,86.5,61.9,90.8,Pass
KNP/STUD/0025,Computing and Informatics,71.5,58.5,87.3,82.5,84.3,Pass
KNP/STUD/0026,Business,79.3,59.6,64.6,52.4,76.1,Pass
KNP/STUD/0027,Engineering,64.2,77.3,57.8,63.0,80.5,Pass
KNP/STUD/0028,Computing and Informatics,82.5,80.9,74.4,80.5,90.6,Pass
KNP/STUD/0029,Business,70.8,74.6,71.8,89.9,96.6,Pass
KNP/STUD/0030,Business,74.5,76.1,85.7,71.8,100.0,Pass
KNP/STUD/0031,Computing and Informatics,70.8,68.2,49.6,63.2,72.7,Pass
KNP/STUD/0032,Computing and Informatics,100.0,71.0,97.6,100.0,89.9,Pass
KNP/STUD/0033,Computing and Informatics,77.8,71.9,70.8,55.4,81.7,Pass
KNP/STUD/0034,Computing and Informatics,65.3,59.4,61.3,40.1,91.8,Pass
KNP/STUD/0035,Computing and Informatics,87.9,84.9,66.2,83.6,86.6,Pass
KNP/STUD/0036,Engineering,63.3,63.9,46.9,60.8,86.5,Pass
KNP/STUD/0037,Computing and Informatics,80.5,63.9,81.8,59.7,97.0,Pass
KNP/STUD/0038,Business,54.5,58.6,63.9,71.6,71.1,Pass
